Voie_ID,Nom_x,Distance (km),% Couverture correspondant (200m),Groupes nature voie,Énergie produite annuelle (kWh / m2 de panneau),Production pour 860m2 de panneau (kWh),SolarScore,latlon,Département,Région,temp_mean_c,sunshine_duration_mean_hour,ghi_mean_W_m2,Revenus annuels revente Enedis €,nbre annuel de charges velos,Eclairage urbain en Nbre lapamdaires alimentés/an,Equivalent conso annuelle en nbr de personnes,nbre annuel charges un BlueBus,nbre annuel km/BlueBus _12m
52,Voie Verte des Kaolins,10.1,1.98,Ancienne ligne ferrovière,73.98,63623,D,"(47.711279, -3.47165)",Morbihan,Bretagne,13.0,8.0,141.0,8271,127246,318,29,234,52629
53,"EV6 - de l'Atlantique à la Mer Noire, de Cuffy (pont de Guétin) à Nevers",10.3,1.94,Bord de rivière ou canal,73.15,62909,D,"(46.94163799999999, 3.069423)",Nièvre,Bourgogne-Franche-Comté,12.0,7.0,140.0,8178,125818,315,28,231,52039
54,Piste du Vignac,10.3,1.94,Bord de voie ferrée,89.91,77323,C,"(44.001656, -1.250016)",Landes,Nouvelle-Aquitaine,15.0,8.0,159.0,10052,154646,387,35,284,63962
55,Voie Verte Itinéraire Airbus A380 tronçon de l'Isle-Jourdain,10.4,1.92,Bord de route,87.74,75456,C,"(43.61480529346401, 1.0659905330292)",Gers,Occitanie,14.0,8.0,159.0,9809,150912,377,34,277,62418
56,Voie Verte Portes Bonheur - Chemin des Carrières,10.4,1.92,Ancienne ligne ferrovière,73.12,62883,D,"(48.44770620047875, 7.420909087169719)",Bas-Rhin,Grand Est,11.0,7.0,135.0,8175,125766,314,28,231,52017
57,Véloroute - Voie Verte de l'Adour Maritime,10.5,1.9,Bord de rivière ou canal,80.41,69153,D,"(43.496445, -1.419377)",Pyrénées-Atlantiques,Nouvelle-Aquitaine,15.0,8.0,158.0,8990,138306,346,31,254,57204
58,Voies du Plan Vert de Chartres,10.5,1.9,Bord de rivière ou canal,66.09,56837,E,"(48.42531164780694, 1.4802579999999999)",Eure-et-Loir,Centre-Val de Loire,12.0,7.0,133.0,7389,113674,284,26,209,47016
59,"V50 / V52 - La Voie Bleue, Moselle-Saône à vélo, de Laneuveville-devant-Nancy à Méréville / Voie Verte Boucle de la Moselle - secteur Sud-Est",10.7,1.87,Piste cyclable,72.17,62066,D,"(48.601507000000005, 6.15381)",Meurthe-et-Moselle,Grand Est,12.0,7.0,137.0,8069,124132,310,28,228,51341
60,Véloroute-Voie Verte de la Vallée d’Ossau,10.9,1.83,Voie verte,70.9,60974,D,"(43.060079301039906, -0.45721005880948)",Pyrénées-Atlantiques,Nouvelle-Aquitaine,11.0,7.0,148.0,7927,121948,305,27,224,50438
61,V16 / V32 / V33 - de Colombes à St-Denis,11.0,1.82,Bord de route,65.14,56020,E,"(48.931927, 2.242219)",Hauts-de-Seine,Ile-de-France,12.0,7.0,129.0,7283,112040,280,25,206,46340
62,Voie Verte du Camin d'Adour,11.1,1.8,Bord de rivière ou canal,80.94,69608,C,"(43.20376400000001, 0.08193099999999999)",Hautes-Pyrénées,Occitanie,13.0,8.0,154.0,9049,139216,348,31,256,57580
63,"EV8 - La Vélittorale, de Le Barcarès à Canet-plage",11.4,1.75,Bord de route,107.2,92192,B,"(42.68893231328391, 3.0167592169936444)",Pyrénées-Orientales,Occitanie,17.0,9.0,178.0,11985,184384,461,41,339,76262
64,Voie Verte Petiville - Villequier,11.4,1.75,Bord de rivière ou canal,65.73,56528,E,"(49.43254, 0.201506191445589)",Calvados,Normandie,12.0,7.0,133.0,7349,113056,283,25,208,46760
65,Voie Verte de la Vallée de la Charentonne (Bernay - Broglie),11.5,1.74,Bord de voie ferrée,65.73,56528,E,"(49.00714, 0.53126)",Eure,Normandie,11.0,7.0,129.0,7349,113056,283,25,208,46760
66,Voie Verte du canal de Montech (Canal des 2 mers à vélo V80 et La Vagabonde V87),11.6,1.72,Bord de rivière ou canal,85.95,73917,C,"(43.95701531567729, 1.23593139740845)",Tarn-et-Garonne,Occitanie,14.0,8.0,158.0,9609,147834,370,33,272,61145
67,EV6 / V51 - Voie Verte de Bourbon-Lancy à Diou,11.8,1.69,Bord de voie ferrée,77.42,66581,D,"(46.53644800000001, 3.741445)",Allier,Auvergne-Rhône-Alpes,12.0,8.0,145.0,8656,133162,333,30,245,55076
68,"EV6 - de l'Atlantique à la Mer Noire / La Loire à vélo, de Savigny-en-Véron à Huismes",11.8,1.69,Bord de route,72.16,62058,D,"(47.20075126049119, 0.14414385851636707)",Indre-et-Loire,Centre-Val de Loire,13.0,7.0,138.0,8068,124116,310,28,228,51335
69,EV6 / V51 - Voie Verte Digoin - Paray-le-Monial,11.8,1.69,Bord de rivière ou canal,77.11,66315,D,"(46.455421, 3.978613)",Allier,Auvergne-Rhône-Alpes,12.0,7.0,145.0,8621,132630,332,30,244,54856
70,Piste cyclable La Barque - Trets,11.9,1.68,Bord de sentier,119.14,102460,A,"(43.449848, 5.542002)",Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,14.0,10.0,187.0,13320,204920,512,46,377,84756
71,Voie Verte de Sainte-Livrade-sur-Lot à Le Temple-sur-Lot (V86),12.0,1.67,Bord de voie ferrée,85.63,73642,C,"(44.38069399999998, 0.5269848836495881)",Lot-et-Garonne,Nouvelle-Aquitaine,14.0,8.0,155.0,9573,147284,368,33,271,60917
72,La Littorale de Montredon-des-Corbières à Névian,12.2,1.64,Bord de route,103.89,89345,B,"(43.181458, 2.907409)",Aude,Occitanie,16.0,9.0,173.0,11615,178690,447,40,328,73907
