Unnamed: 0,Nom,Lien,Début,Fin,Distance,Type voie,Nature voie,Revêtement,Carte,Coordonnées de début,Coordonnées de fin,Coordonnées milieu,Énergie produite annuelle (kWh / m2 de panneau)
32,Liaison Bart - St-Julien-lès-Montbéliard,https://www.af3v.org/les-voies-vertes/voies/913-liaison-bart-st-julien-les-montbeliard,BART,ST JULIEN LES MONTBELIARD,"7,5km",Voie verte lisse,Piste cyclable et route,enrobé,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=6.69509603274827,47.4909002323203,6.772396287180129,47.52072870870194&crs=EPSG:4326","('6.69509603274827', '47.4909002323203')","('6.772396287180129', '47.52072870870194')","(6.7337461599642, 47.50581447051112)",254.53
33,Véloroute-Voie Verte Jurançon-Gan,https://www.af3v.org/les-voies-vertes/voies/1149-veloroute-voie-verte-jurancon-gan,JURANCON,GAN,"7,6km",Voie verte lisse,Route,Enrobé,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=-0.389961201258302,43.21788547930983,-0.38421785783675494,43.280908116243495&crs=EPSG:4326","('-0.389961201258302', '43.21788547930983')","('-0.38421785783675494', '43.280908116243495')","(-0.3870895295475285, 43.24939679777666)",270.65
34,Piste Les Essarts-le-Roi à Senlisse,https://www.af3v.org/les-voies-vertes/voies/234-piste-les-essarts-le-roi-a-senlisse,LES ESSARTS LE ROI,SENLISSE,"7,7km",Voie verte lisse,Sentier,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=1.884611,48.684068,1.959834,48.713049&crs=EPSG:4326","('1.884611', '48.684068')","('1.959834', '48.713049')","(1.9222225000000002, 48.698558500000004)",271.56
35,Voie Verte Sarreguemines-Hambach,https://www.af3v.org/les-voies-vertes/voies/206-voie-verte-sarreguemines-hambach,SARREGUEMINES,HAMBACH,"7,7km",Voie verte lisse,Voie ferrée,Stabilisé bien roulant,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=7.026953,49.049563,7.07849881821619,49.0982692372335&crs=EPSG:4326","('7.026953', '49.049563')","('7.07849881821619', '49.0982692372335')","(7.052725909108094, 49.07391611861675)",255.73
36,V75 - Véloroute Montluçon - Diou / Voie Verte de Dompierre-sur-Besbre à Diou,https://www.af3v.org/les-voies-vertes/voies/881-v75-veloroute-montlucon-diou-voie-verte-de-dompierre-sur-besbre-a-diou,DOMPIERRE SUR BESBRE,DIOU,"7,8km",Voie verte lisse,,,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=3.684874,46.519282,3.761139,46.538351&crs=EPSG:4326","('3.684874', '46.519282')","('3.761139', '46.538351')","(3.7230065000000003, 46.5288165)",248.76
37,"V16 / V32 / V33 - V16 / V32 / V33 / Voie verte du canal de Saint-Denis, de St-Denis à La Villette",https://www.af3v.org/les-voies-vertes/voies/182-v16-v32-v33-voie-verte-du-canal-de-saint-denis-de-st-denis-a-la-villette,ST DENIS,PARIS 19,"7,8km",Voie verte lisse,Canal,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=2.346702,48.882991,2.385643,48.936082&crs=EPSG:4326","('2.346702', '48.882991')","('2.385643', '48.936082')","(2.3661725000000002, 48.9095365)",271.26
38,Voie Verte Cahors - Arcambal (V86/V87),https://www.af3v.org/les-voies-vertes/voies/1282-voie-verte-cahors-arcambal-v86-v87,CAHORS,ARCAMBAL,"8,3km",Voie verte lisse,Voie Verte,Enrobé,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=1.4469291442436,44.44703754596179,1.5145738974739238,44.47022150323159&crs=EPSG:4326","('1.4469291442436', '44.44703754596179')","('1.5145738974739238', '44.47022150323159')","(1.480751520858762, 44.45862952459669)",265.77
39,Voie Verte de Vendays-Montalivet à Montalivet-les-Bains,https://www.af3v.org/les-voies-vertes/voies/328-voie-verte-de-vendays-montalivet-a-montalivet-les-bains,VENDAYS MONTALIVET,VENDAYS MONTALIVET,"8,3km",Voie verte lisse,Sentier,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=-1.145218,45.354773,-1.069002,45.375959&crs=EPSG:4326","('-1.145218', '45.354773')","('-1.069002', '45.375959')","(-1.10711, 45.365366)",275.82
40,Piste cyclable Auch-Aubiet,https://www.af3v.org/les-voies-vertes/voies/1251-piste-cyclable-auch-aubiet,AUCH,MARSAN,"8,3km",Voie verte lisse,piste cyclable,enduit gravillonné,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=0.6310274259806897,43.647942223527,0.724065903645393,43.66250446026148&crs=EPSG:4326","('0.6310274259806897', '43.647942223527')","('0.724065903645393', '43.66250446026148')","(0.6775466648130414, 43.65522334189424)",267.91
41,Liaison Krautergersheim - Rosheim,https://www.af3v.org/les-voies-vertes/voies/782-liaison-krautergersheim-rosheim,KRAUTERGERSHEIM,ROSHEIM,"8,4km",Voie verte lisse,route,enrobé,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=7.478307,48.494625000000006,7.5754589999999995,48.50521599999999&crs=EPSG:4326","('7.478307', '48.494625000000006')","('7.5754589999999995', '48.50521599999999')","(7.526883, 48.4999205)",249.36
